t,ang,ang_red
0.7924899999999866,5.836209191542971,0.1460437189102694
0.8821000000000083,5.016875337373571,0.10085933605474434
0.9268999999999892,5.734932091960823,0.07826966579555263
0.9716999999999985,5.689443129403397,0.05567999553634654
1.0164900000000046,0.6623792971761702,0.03309536761425357
1.0612900000000138,0.6649045185601682,0.010505697355047484
1.106089999999995,0.8622126452095935,6.271101334275443
1.1956900000000132,0.9069395512910338,6.22592199375703
1.240489999999994,5.797499770662081,6.203332323497839
1.2852900000000034,1.5142899787183646,6.180742653238632
1.3300900000000129,5.741024041901348,6.158152982979426
1.3748899999999935,5.727895268785326,6.1360567277066105
1.4196799999999996,5.741985889456137,6.114198002549155
1.4644700000000055,0.5482526577760333,6.092560716689641
1.5092600000000118,5.152886718937591,6.0711607638672564
1.554059999999993,4.967986835250325,6.050250526577721
1.6436799999999891,5.050438827130107,6.008857057012921
1.6884799999999984,4.983121311348838,5.988945732319736
1.7332700000000043,5.015437908234544,5.969492486317039
1.7780600000000106,5.134033377543683,5.950428123447436
1.8228499999999883,5.03012265609485,5.931773653677214
1.8676499999999976,5.088532289063145,5.913546334493959
1.9124500000000069,5.161818537219872,5.895747846893926
1.9572799999999968,5.0750210979180395,5.878391629612876
2.046860000000009,5.101816628073692,5.845204885190274
2.0916599999999903,5.108483866794119,5.829730054297885
2.13646,5.2008704122676175,5.814692824179355
2.181279999999987,5.14173064602517,5.8003471095805255
2.226069999999993,5.244600471628962,5.786513654456134
2.270870000000002,5.2381015890856535,5.773181210272275
2.3156700000000114,5.079197862027746,5.76035705135226
2.3604699999999923,4.71238898038469,5.748041969009935
2.4052599999999984,5.261245611459254,5.736543441202049
2.4948599999999885,5.062086647964831,5.714861763558445
2.539659999999998,6.11456724018913,5.704999603167267
2.584460000000007,5.308746060772009,5.695897013329065
2.629259999999988,5.250230025695632,5.687300197559941
2.674059999999997,5.111920269573349,5.679199904152184
2.7188600000000065,6.190409318352719,5.671584189018604
2.7636699999999905,6.098145705455711,5.664454625733089
2.8084599999999966,6.165871854062581,5.657797601663487
2.898050000000012,6.187056009266837,5.645790913072754
2.942859999999996,0.0705952624145234,5.640914744003247
2.987650000000002,0.03926468463575499,5.636374951258214
3.0324500000000114,5.339838867266711,5.632921857178202
3.077239999999989,5.327854681781044,5.629660443019915
3.122029999999995,5.705127224065219,5.6266165378395385
3.1668300000000045,6.058091249768743,5.623958415048715
3.2116300000000138,6.073331261541969,5.621837903332683
3.256460000000004,1.3565694408592281,5.619866098089495
3.3012600000000134,6.065703391402741,5.618058987322512
3.390829999999994,4.81306003539205,5.6158906785810165
