t,dx,dy,dz,s
0.0309200000000089,0.0,0.0,0.0,0.0
0.0757199999999898,0.0,0.0,0.0,0.0
0.1205099999999959,0.0,0.0,0.0,0.0
0.1653100000000051,0.0,0.0,0.0,0.0
0.210109999999986,0.0,0.0,0.0,0.0
0.2549099999999953,0.0,0.0,0.0,0.0
0.2997100000000046,0.0,0.0,0.0,0.0
0.3445100000000138,0.0,0.0,0.0,0.0
0.3893099999999947,0.0,0.0,0.0,0.0
0.434110000000004,0.0,0.0,0.0,0.0
0.4789000000000101,0.0,0.0,0.0,0.0
0.523699999999991,0.0,0.0,0.0,0.0
0.5685000000000002,0.0,0.0,0.0,0.0
0.6133000000000095,0.0,0.0,0.0,0.0
0.6580999999999904,0.0,0.0,0.0,0.0
0.7028999999999996,0.0,0.0,0.0,0.0
0.7477000000000089,0.0,0.0,0.0,0.0
0.7924899999999866,-0.7950484461870546,1.658662656695284,-3.84999990463257,95.22028999192642
0.837299999999999,0.0,0.0,0.0,0.0
0.8821000000000083,-0.03542290481090442,0.011131958343063835,0.01999998092651012,0.9413986535006595
0.9268999999999892,0.0747816878699289,-0.12245153266599648,0.07999992370606002,3.6668792332567923
0.9716999999999985,0.08265344967120396,-0.12245153261993844,0.09999990463257014,3.9829938509211456
1.0164900000000046,-0.29519091130458996,-0.37848656389347207,0.36999988555908025,13.527774091629192
1.0612900000000138,-0.2007298628453156,-0.25603504420642065,0.11000013351439986,7.665922509483179
1.106089999999995,-0.12988404507385018,-0.11131958580719646,0.40999984741211026,9.916388292600473
1.150890000000004,0.0,0.0,0.0,0.0
1.1956900000000132,-0.18498638741371204,-0.14471547211751407,0.5500001907348695,13.349310551451484
1.240489999999994,-0.41720340299848213,0.7903691807238558,1.7500000000000009,43.86170438755814
1.2852900000000034,-0.3935880949939538,-0.022263926937513372,-0.6700000762939506,17.352055679223945
1.3300900000000129,-0.7242020255028947,1.202251914096159,1.02000045776367,38.72802704487025
1.3748899999999935,-0.7320735385954008,1.1799881797844176,1.1699991226196307,40.540742289379864
1.4196799999999996,-0.6021893392868409,1.0018769382934882,-0.9399995803833008,33.48953345940935
1.4644700000000055,0.07478164046454647,0.12245160850054922,-1.3699998855590803,30.754471676893957
1.5092600000000118,-0.7084574592309724,0.333958857952558,1.3599996566772408,35.031414960496306
1.554059999999993,-0.7242010126108157,0.18924339350817437,-0.32999992370605113,18.247474936855607
1.5988900000000117,0.0,0.0,0.0,0.0
1.6436799999999891,-0.6966497963618171,0.24490320394602969,-0.2200002670288086,17.19907187510424
1.6884799999999984,-0.8422770401850506,0.2337712296220427,0.690000534057619,24.863448167557994
1.7332700000000043,-0.7832389388179052,0.2449032219927445,-0.3199996948242205,19.66550922901934
1.7780600000000106,-0.8934432769156984,0.4007507046338436,0.6599998474121112,26.364475527366093
1.8228499999999883,-0.8462127422192688,0.2782991285789504,-0.36999988555908025,21.530939513023554
1.8676499999999976,-0.873763703246827,0.3450909003681466,-0.21000003814697976,21.487209978189615
1.9124500000000069,-1.0154549357718134,0.489806422390935,0.5299997329712003,27.788899718363226
1.9572799999999968,-0.9682243575293215,0.3673548481099682,-0.27000045776368076,23.888186350030065
2.0020800000000065,0.0,0.0,0.0,0.0
2.046860000000009,-1.0036470043069272,0.41188269153044316,-0.17000007629393998,24.511476566030417
2.0916599999999903,-1.0115185456920923,0.42301464262553645,-0.08999919891357955,24.555712284501038
2.13646,-1.2358628916929715,0.6567858859358902,0.5099992752075195,33.234532944289725
2.181279999999987,-1.0941713940341498,0.5009384275262201,-0.17999935150145951,27.1663000806381
2.226069999999993,-1.3421307817991353,0.7903694967157406,0.689999580383299,38.025773124228806
2.270870000000002,-1.3814891523289483,0.801501547497692,0.8699998855590909,40.596884952896
2.3156700000000114,-1.3618095525891203,0.5232024695046942,-0.57999992370606,35.042979324711176
2.3604699999999923,-0.027551051870707957,0.0,0.07000064849856003,1.6795563846480606
2.4052599999999984,-1.456269898300005,0.890557326317635,1.0599994659424006,44.851150437043636
2.450060000000008,0.0,0.0,0.0,0.0
2.4948599999999885,-1.3736164627860334,0.5009385775261418,-0.6800003051758008,35.99334378686038
2.539659999999998,0.05116621322564496,-0.3005631147878152,-1.1799993515014897,27.204269225169742
2.584460000000007,-0.09839655791590697,0.06679179180811654,0.07999992370604936,3.1992933665257253
2.629259999999988,-1.6609338718829145,0.9907449123825222,1.1899995803833399,50.68672919067292
2.674059999999997,-1.6609334993301055,0.7013139449282517,-0.3499994277953995,40.99517947656568
2.7188600000000065,0.019679300148182637,-0.21150736886113916,-1.0799999237061009,24.56353085280739
2.7636699999999905,0.03542273720862578,-0.18924340300278472,-0.8500003814697283,19.458188488320527
2.8084599999999966,0.019679297324806118,-0.16697945070562614,-0.6900000572204608,15.852449928595595
2.853260000000006,0.0,0.0,0.0,0.0
2.898050000000012,0.011807577963314447,-0.12245158488624394,-0.5700001716613698,13.013263735817679
2.942859999999996,-0.007871718291950887,-0.11131961181259825,-0.4800000190734899,11.002505700947982
2.987650000000002,-0.0039358591014296545,-0.10018764372429446,-0.41999959945679066,9.638431071416912
3.0324500000000114,-0.15349849940920388,0.11131959768658829,0.11999988555909002,5.009970010194643
3.077239999999989,-0.015743435452690947,0.01113195918712482,0.009999752044670629,0.48493631013854455
3.122029999999995,-2.3457718687249685,3.595623036641388,5.190000057220479,150.34646437120006
3.1668300000000045,-0.26763821964759965,1.1688567372034953,3.0,72.11533786287794
3.2116300000000138,-0.19679280584077885,0.9239538541886059,2.560000419616699,60.86860779368238
